t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
56.0089,bf16,11944,12288,100,1,164.77,57,1995,9251,28301.5,28312,28305.3,1
56.1826,bf16,11946,12288,100,1,164.77,57,1995,9251,28306.1,28314,28307.3,1
56.3532,bf16,11946,12288,100,1,164.97,57,1995,9251,28306.1,28314,28307.3,1
56.5240,bf16,11946,12288,100,1,164.97,57,1995,9251,28294.3,28314,28307.6,1
56.6956,bf16,11946,12288,100,1,164.97,57,1995,9251,28294.4,28314,28307.6,1
56.8672,bf16,11946,12288,100,1,167.52,57,1995,9251,28294.4,28314,28307.6,1
57.0392,bf16,11946,12288,100,1,167.52,57,1995,9251,28294.4,28314,28307.6,1
57.2110,bf16,11946,12288,100,1,167.52,57,1995,9251,28295.5,28314,28307.6,1
57.3833,bf16,11945,12288,100,1,167.06,57,1995,9251,28295.5,28314,28307.6,1
57.5532,bf16,11945,12288,100,1,167.06,57,1995,9251,28294.5,28314,28307.6,1
57.7237,bf16,11945,12288,100,1,164.45,57,1995,9251,28294.5,28314,28307.6,1
57.8928,bf16,11945,12288,100,1,164.45,57,1995,9251,28294.6,28314,28307.6,1
58.0635,bf16,11947,12288,100,1,164.45,57,1995,9251,28295.6,28314,28307.6,1
58.2350,bf16,11951,12288,100,1,167.59,57,1995,9251,28294.7,28314,28307.6,1
58.4041,bf16,11951,12288,100,1,167.59,57,1995,9251,28294.7,28314,28307.6,1
58.5729,bf16,11950,12288,100,1,167.59,57,1995,9251,28294.7,28314,28307.6,1
58.7447,bf16,11950,12288,100,1,168.07,57,1995,9251,28294.9,28314,28307.6,1
58.9144,bf16,11950,12288,100,1,168.07,57,1995,9251,28294.9,28314,28307.6,1
59.0851,bf16,11950,12288,100,1,168.07,57,1995,9251,28294.9,28314,28307.6,1
59.2560,bf16,11950,12288,100,1,168.34,58,1995,9251,28294.9,28314,28307.6,1
59.4264,bf16,11950,12288,100,1,168.34,58,1995,9251,28294.9,28314,28307.6,1
59.5977,bf16,11950,12288,100,1,168.34,58,1995,9251,28294.9,28314,28307.6,1
59.7670,bf16,11950,12288,100,1,168.39,57,1995,9251,28294.9,28314,28307.6,1
59.9510,bf16,11950,12288,100,1,168.39,57,1995,9251,28294.9,28314,28307.6,1
60.1213,bf16,11951,12288,100,1,168.39,57,1995,9251,28294.9,28314,28307.6,1
60.2932,bf16,11951,12288,100,1,167.34,58,1995,9251,28295.1,28314,28307.6,1
60.4654,bf16,11951,12288,100,1,167.34,58,1995,9251,28295,28314,28307.6,1
60.6366,bf16,11950,12288,100,1,167.34,58,1995,9251,28295,28314,28307.6,1
60.8057,bf16,11950,12288,99,1,168.43,58,1995,9251,28300.8,28314,28307.6,1
60.9919,bf16,11950,12288,99,1,168.43,58,1995,9251,28295.3,28314,28307.6,1
61.1623,bf16,11950,12288,99,1,168.43,58,1995,9251,28296,28314,28307.6,1
61.3327,bf16,11950,12288,99,1,168.43,58,1995,9251,28295.1,28314,28307.6,1
61.5037,bf16,11950,12288,99,1,168.43,58,1995,9251,28295.1,28314,28307.6,1
61.6739,bf16,11950,12288,99,1,168.43,58,1995,9251,28299.2,28314,28307.6,1
61.8437,bf16,11950,12288,96,15,168.4,58,1995,9251,28296.2,28314,28307.6,1
62.0129,bf16,11950,12288,96,15,168.4,58,1995,9251,28296.2,28314,28307.6,1
62.1829,bf16,11950,12288,96,15,168.4,58,1995,9251,28296.2,28314,28307.6,1
62.3549,bf16,11950,12288,96,15,168.85,58,1995,9251,28295.2,28314,28307.6,1
62.5246,bf16,11950,12288,96,15,168.85,58,1995,9251,28295.5,28314,28307.6,1
62.6956,bf16,11950,12288,96,15,168.85,58,1995,9251,28295.5,28314,28307.6,1
62.8786,bf16,11950,12288,100,1,168.6,58,1995,9251,28295.5,28314,28307.6,1
63.0468,bf16,11950,12288,100,1,168.6,58,1995,9251,28295.5,28314,28307.6,1
63.2475,bf16,11950,12288,100,1,168.49,59,1995,9251,28295.8,28314,28307.6,1
63.4173,bf16,11950,12288,100,1,168.49,59,1995,9251,28295.8,28314,28307.6,1
63.5873,bf16,11950,12288,100,1,168.49,59,1995,9251,28295.8,28314,28307.6,1
63.7580,bf16,11950,12288,100,1,168.34,58,1995,9251,28295.8,28314,28307.6,1
63.9442,bf16,11950,12288,100,1,168.34,58,1995,9251,28295.8,28314,28307.6,1
64.1147,bf16,11950,12288,100,1,168.34,58,1995,9251,28295.8,28314,28307.6,1
64.2862,bf16,11950,12288,100,1,168.12,58,1995,9251,28295.4,28314,28307.6,1
64.4724,bf16,11950,12288,100,1,168.12,58,1995,9251,28295.5,28314,28307.6,1
64.6433,bf16,11950,12288,100,1,168.12,58,1995,9251,28296.3,28314,28307.6,1
64.8157,bf16,11950,12288,99,1,168.16,58,1995,9251,28296.3,28314,28307.6,1
65.0012,bf16,11950,12288,99,1,168.16,58,1995,9251,28296.3,28314,28307.6,1
65.1723,bf16,11950,12288,99,1,168.16,58,1995,9251,28295.6,28314,28307.6,1
65.3433,bf16,11963,12288,99,1,168.26,58,1995,9251,28295.6,28314,28307.6,1
65.5291,bf16,11962,12288,99,1,168.26,58,1995,9251,28295.6,28314,28307.6,1
65.6993,bf16,11962,12288,99,1,168.26,58,1995,9251,28295.9,28314,28307.6,1
65.8702,bf16,11962,12288,100,1,165.71,58,1995,9251,28295.9,28314,28307.6,1
66.0539,bf16,11963,12288,100,1,165.71,58,1995,9251,28301.7,28314,28307.6,1
66.2220,bf16,11963,12288,100,1,168.25,58,1995,9251,28301.7,28314,28307.6,1
66.3929,bf16,11963,12288,100,1,168.25,58,1995,9251,28295.7,28314,28307.6,1
66.5623,bf16,11962,12288,100,1,168.25,58,1995,9251,28295.9,28314,28307.6,1
66.7329,bf16,11962,12288,100,1,168.55,58,1995,9251,28295.9,28314,28307.6,1
66.9034,bf16,11962,12288,100,1,168.55,58,1995,9251,28296.1,28314,28307.6,1
67.0720,bf16,11962,12288,100,1,168.55,58,1995,9251,28296.1,28314,28307.6,1
67.2417,bf16,11962,12288,100,1,166.29,58,1995,9251,28296.1,28314,28307.6,1
67.4279,bf16,11962,12288,100,1,166.29,58,1995,9251,28295.9,28314,28307.6,1
67.5957,bf16,11962,12288,100,1,166.29,58,1995,9251,28295.9,28314,28307.6,1
67.7677,bf16,11962,12288,100,1,168.85,58,1995,9251,28295.9,28314,28307.6,1
67.9685,bf16,11962,12288,100,1,168.85,58,1995,9251,28296,28314,28307.6,1
68.1536,bf16,11961,12288,100,1,168.85,58,1995,9251,28296,28314,28307.6,1
68.3219,bf16,11961,12288,100,1,168.43,58,1995,9251,28296,28314,28307.6,1
68.4911,bf16,11960,12288,100,1,168.43,58,1995,9251,28300.3,28314,28307.6,1
68.6601,bf16,11960,12288,100,1,168.43,58,1995,9251,28296.3,28314,28307.6,1
68.8286,bf16,11960,12288,100,1,166.07,58,1995,9251,28296.3,28314,28307.6,1
68.9975,bf16,11960,12288,100,1,166.07,58,1995,9251,28296.1,28314,28307.6,1
69.1706,bf16,11960,12288,100,1,166.07,58,1995,9251,28296.1,28314,28307.6,1
69.3412,bf16,11956,12288,100,1,169.1,59,1995,9251,28296.1,28314,28307.6,1
69.5108,bf16,11956,12288,100,1,169.1,59,1995,9251,28296.1,28314,28307.6,1
69.6837,bf16,11956,12288,100,1,169.1,59,1995,9251,28297.2,28314,28307.6,1
69.8685,bf16,11956,12288,99,1,168.91,59,1995,9251,28297.2,28314,28307.6,1
70.0396,bf16,11956,12288,99,1,168.91,59,1995,9251,28296.4,28314,28307.6,1
70.2244,bf16,11956,12288,99,1,168.22,59,1995,9251,28300.7,28314,28307.6,1
70.3944,bf16,11956,12288,99,1,168.22,59,1995,9251,28297.3,28314,28307.6,1
70.5647,bf16,11955,12288,99,1,168.22,59,1995,9251,28296.3,28314,28307.6,1
70.7357,bf16,11946,12288,99,1,168.9,59,1995,9251,28297.3,28314,28307.6,1
70.9219,bf16,11946,12288,99,1,168.9,59,1995,9251,28296.3,28314,28307.6,1
71.0922,bf16,11946,12288,99,1,168.9,59,1995,9251,28302.6,28314,28307.6,1
71.2627,bf16,11946,12288,99,1,169.04,59,1995,9251,28296.6,28314,28307.6,1
71.4469,bf16,11946,12288,99,1,169.04,59,1995,9251,28296.5,28314,28307.6,1
71.6183,bf16,11946,12288,99,1,169.04,59,1995,9251,28296.6,28314,28307.6,1
71.7875,bf16,11946,12288,100,1,169.33,59,1995,9251,28296.6,28314,28307.6,1
71.9748,bf16,11946,12288,100,1,169.33,59,1995,9251,28296.6,28314,28307.6,1
72.1600,bf16,11946,12288,100,1,169.33,59,1995,9251,28296.5,28314,28307.6,1
72.3310,bf16,11946,12288,100,1,169.34,59,1995,9251,28296.5,28314,28307.6,1
72.5013,bf16,11946,12288,100,1,169.34,59,1995,9251,28296.8,28314,28307.6,1
72.6722,bf16,11946,12288,100,1,169.34,59,1995,9251,28296.8,28314,28307.6,1
72.8435,bf16,11946,12288,100,1,167.12,59,1995,9251,28301.1,28314,28307.6,1
73.0139,bf16,11946,12288,100,1,167.12,59,1995,9251,28301.2,28314,28307.6,1
73.1830,bf16,11951,12288,100,1,167.12,59,1995,9251,28296.7,28314,28307.6,1
73.3530,bf16,11951,12288,100,1,170,59,1995,9251,28296.7,28314,28307.6,1
73.5252,bf16,11951,12288,100,1,170,59,1995,9251,28296.7,28314,28307.6,1
73.6954,bf16,11951,12288,100,1,170,59,1995,9251,28297,28314,28307.6,1
73.8655,bf16,11951,12288,99,1,169.89,59,1995,9251,28297,28314,28307.6,1
74.0357,bf16,11958,12288,99,1,169.89,59,1995,9251,28297,28314,28307.6,1
74.2207,bf16,11967,12288,99,1,166.55,59,1995,9251,28296.8,28314,28307.6,1
74.3906,bf16,11967,12288,99,1,166.55,59,1995,9251,28297.8,28314,28307.6,1
74.5595,bf16,11967,12288,99,1,166.55,59,1995,9251,28296.9,28314,28307.6,1
74.7311,bf16,11967,12288,100,1,168.59,59,1995,9251,28296.9,28314,28307.6,1
74.9013,bf16,11926,12288,100,1,168.59,59,1995,9251,28296.9,28314,28307.6,1
75.0744,bf16,11931,12288,100,1,168.59,59,1995,9251,28297,28314,28307.6,1
75.2442,bf16,11931,12288,100,1,169.9,59,1995,9251,28297,28314,28307.6,1
75.4149,bf16,11931,12288,100,1,169.9,59,1995,9251,28297.2,28314,28307.6,1
75.5872,bf16,11931,12288,100,1,169.9,59,1995,9251,28297.1,28314,28307.6,1
75.7601,bf16,11931,12288,100,1,170.13,59,1995,9251,28297.1,28314,28307.6,1
75.9485,bf16,11931,12288,100,1,170.13,59,1995,9251,28297.1,28314,28307.6,1
76.1190,bf16,11958,12288,100,1,170.13,59,1995,9251,28297.1,28314,28307.6,1
76.2906,bf16,11958,12288,100,1,170.04,59,1995,9251,28297.1,28314,28307.6,1
76.4610,bf16,11958,12288,100,1,170.04,59,1995,9251,28297.4,28314,28307.6,1
76.6311,bf16,11958,12288,100,1,170.04,59,1995,9251,28297.4,28314,28307.6,1
76.8029,bf16,11958,12288,100,1,167.4,59,1995,9251,28297.2,28314,28307.6,1
76.9742,bf16,11958,12288,100,1,167.4,59,1995,9251,28297.2,28314,28307.6,1
77.1446,bf16,11958,12288,100,1,167.4,59,1995,9251,28297.4,28314,28307.6,1
77.3174,bf16,11958,12288,100,1,169.98,59,1995,9251,28297.4,28314,28307.6,1
77.4859,bf16,11958,12288,100,1,169.98,59,1995,9251,28298.3,28314,28307.6,1
77.6568,bf16,11958,12288,100,1,169.98,59,1995,9251,28297.6,28314,28307.6,1
77.8287,bf16,11958,12288,100,1,170.03,59,1995,9251,28297.6,28314,28307.6,1
77.9966,bf16,11958,12288,100,1,170.03,59,1995,9251,28297.6,28314,28307.6,1
78.1668,bf16,11958,12288,100,1,170.03,59,1995,9251,28297.4,28314,28307.6,1
78.3377,bf16,11958,12288,100,1,170.16,60,1995,9251,28297.5,28314,28307.6,1
78.5068,bf16,11958,12288,100,1,170.16,60,1995,9251,28297.5,28314,28307.6,1
78.6790,bf16,11958,12288,100,1,170.16,60,1995,9251,28297.5,28314,28307.6,1
78.8498,bf16,11958,12288,100,1,170.06,59,1995,9251,28297.5,28314,28307.6,1
79.0200,bf16,11958,12288,100,1,170.06,59,1995,9251,28297.5,28314,28307.6,1
79.1900,bf16,11958,12288,100,1,170.06,59,1995,9251,28297.5,28314,28307.6,1
79.3610,bf16,11958,12288,100,1,167.39,59,1995,9251,28302.3,28314,28307.6,1
79.5346,bf16,11958,12288,100,1,167.39,59,1995,9251,28302.4,28314,28307.6,1
